 abseiling: refers to the activity of descending a steep slope or a vertical drop using a rope that is attached to the climber's harness. 
 air drumming: refers to the act of mimicking a drummer's actions by using one's hands and feet to imitate playing drums without any physical drum kit or percussion instrument.
 answering questions: refers to the act of responding to questions that have been asked.
Snorkeling:  refers to swimming on the surface of water while wearing a mask and a tube for breathing underwater.
Snowboarding:  refers to descending a snow-covered slope on a snowboard.
Snowkiting:  refers to using a kite to propel oneself on skis or a snowboard across snow-covered terrain.
"Snowmobiling:  refers to riding a motorized vehicle designed for travel on snow, typically with skis at the front and tracks at the rear."
"Somersaulting:  refers to rolling the body forwards or backwards in a complete rotation, often in the air."
"Spinning poi:  refers to performing a dance-like movement with weights on the end of tethers, often in a circular pattern."
Spray painting:  refers to applying paint to a surface using a spray can or airbrush.
"Spraying:  refers to dispersing liquid or gas in a fine mist or stream, often for cleaning or pest control purposes."
"Springboard diving:  refers to diving into a pool from a springboard, typically from a standing position."
Squat:  refers to a lower-body exercise where an individual lowers their hips and buttocks towards the ground.
Sticking tongue out:  refers to the action of protruding one's tongue outside the mouth.
"Stomping grapes:  refers to the act of crushing grapes with one's feet, often as part of the winemaking process."
Stretching arm:  refers to the act of extending one's arm to improve flexibility and range of motion.
Stretching leg:  refers to the act of extending one's leg to improve flexibility and range of motion.
Strumming guitar:  refers to the action of playing a guitar by brushing or striking the strings with one's fingers or a pick.
"Surfing crowd:  refers to the act of navigating through a dense crowd of people in a social setting, such as a concert or festival."
Surfing water:  refers to the activity of riding on the waves of the ocean or other bodies of water using a surfboard.
Sweeping floor:  refers to the act of cleaning a floor with a broom or a vacuum cleaner.
"Swimming backstroke:  refers to the style of swimming where an individual swims on their back, using alternating arm strokes and kicking motions to move through the water."
"Swimming breaststroke:  refers to the style of swimming where an individual propels themselves forward using both arms simultaneously in a circular motion, while kicking their legs."
"Swimming butterfly stroke:  refers to the style of swimming where an individual swims by moving both arms simultaneously in a circular motion over the head, while kicking their legs in a dolphin-like motion."
"Swing dancing:  refers to a group of dances that originated in the 1920s and 1930s, characterized by a syncopated rhythm and an emphasis on improvisation and partner interaction."
"Swinging legs:  refers to the act of moving one's legs back and forth in a swinging motion, often while sitting or lying down."
"Swinging on something:  refers to the act of moving back and forth on a suspended object, such as a swing or hammock."
"Sword fighting:  refers to the art of combat using a sword or similar weapon, often practiced as a sport or for theatrical purposes."
"Tai chi:  refers to a Chinese martial art that involves slow, deliberate movements and deep breathing exercises, often practiced for relaxation and stress relief."
Taking a shower:  refers to the act of cleaning oneself by standing under a stream of water in a shower or other bathing facility.
"Tango dancing:  refers to a social dance that originated in the Rio de la Plata region of South America, characterized by a close embrace and intricate footwork."
"Tap dancing:  refers to a style of dance that involves rhythmic tapping sounds created by metal plates on the soles of shoes, often accompanied by music."
Tapping guitar:  refers to the technique of creating percussive sounds on a guitar by tapping or slapping the strings or body of the instrument with the fingers or hand.
"Tapping pen:  refers to the habit of repeatedly tapping a pen or pencil on a surface, often as a nervous or absent-minded behavior."
"Tasting beer:  refers to the act of evaluating the flavor, aroma, and mouthfeel of beer by taking small sips and analyzing the sensory experience."
"Tasting food:  refers to the act of evaluating the flavor, aroma, and texture of food by taking small bites and analyzing the sensory experience."
"Testifying:  refers to the act of giving evidence or testimony in a court of law or other formal setting, often under oath."
"Texting:  refers to the act of sending written messages using a mobile phone or other digital device, often in real-time communication with others."
"Throwing axe:  refers to the sport or recreational activity of throwing an axe at a target, often with a single-handed grip and a rotating motion."
"Throwing ball:  refers to the act of propelling a ball through the air using one's arm, often as part of a game or sport."
"Throwing discus:  refers to the track and field sport of throwing a heavy disc-shaped object for distance, using a spinning technique to generate momentum."
Tickling:  refers to the act of touching or lightly stroking someone's body in a way that causes laughter or a tickling sensation.
"Tobogganing:  refers to the activity of sliding downhill on a sled or toboggan, often on snow or ice."
"Tossing coin:  refers to the act of flipping a coin in the air and predicting which side will land facing up, often used to make decisions or settle disputes."
Tossing salad:  refers to the culinary technique of mixing and lightly tossing salad ingredients together with dressing or other seasonings.
Training dog:  refers to the act of teaching a dog new skills or behaviors through positive reinforcement and repetition.
"Trapezing:  refers to the circus or aerial performance art of performing acrobatic maneuvers on a trapeze, often involving swinging and hanging from a horizontal bar."
"Trimming or shaving beard:  refers to the act of cutting or removing facial hair using scissors, a razor, or other grooming tools."
"Trimming trees:  refers to the act of pruning or cutting branches from trees for the purposes of maintenance, shaping, or safety."
"Triple jump:  refers to the track and field event that involves three consecutive jumps (hop, step, and jump) for distance, with the athlete taking off and landing on the same foot."
"Tying bow tie:  refers to the skill of creating a decorative bow knot from a length of ribbon or cloth around the neck, often worn with formal attire."
"Tying knot (not on a tie):  refers to the ability to tie a knot in a piece of rope or cord, often for the purposes of securing or fastening objects together."
"Tying tie:  refers to the skill of creating a necktie knot from a length of fabric around the neck, often worn with business or formal attire."
"Unboxing:  refers to the activity of opening a package or box, often containing a product or gift, and removing its contents."
"Unloading truck:  refers to the physical labor of removing cargo or goods from a truck or other vehicle, often for the purposes of transportation or delivery."
"Using computer:  refers to the activity of operating a personal computer or other digital device, often for communication, work, or entertainment."
"Using remote controller (not gaming):  refers to the skill of operating a remote control device, often used for controlling electronic devices such as televisions or audio systems."
"Using Segway:  refers to the skill of operating a self-balancing electric vehicle called a Segway, often used for transportation or recreation."
Vault:  refers to the gymnastics event that involves running towards a stationary platform and using a springboard to propel oneself over it and perform acrobatic maneuvers in the air.
"Waiting in line:  refers to the activity of standing or sitting in a queue or line, often in anticipation of a service or product, and waiting for one's turn."
"Walking the dog:  refers to the activity of taking a dog for a walk, often for exercise, bathroom breaks, or socialization."
"Washing dishes:  refers to the chore of cleaning dishes and utensils using soap, water, and a scrubbing implement, often done by hand or using a dishwasher."
"Washing feet:  refers to the act of cleaning one's feet using soap and water, often for hygiene or relaxation purposes."
"Washing hair:  refers to the activity of cleaning one's hair using shampoo and water, often for hygiene or grooming purposes."
"Washing hands:  refers to the activity of cleaning one's hands using soap and water, often for hygiene or health purposes."
Water skiing:  refers to the sport or recreational activity of skiing on the water's surface while being towed behind a boat or other motorized vehicle.
"Water sliding:  refers to the activity of sliding down a water slide, often for recreational or amusement purposes."
"Watering plants:  refers to the task of providing plants with water, often for the purposes of hydration or growth."
"Waxing back:  refers to the process of removing hair from the back using wax or other depilatory methods, often for grooming or aesthetic purposes."
"Waxing chest:  refers to the process of removing hair from the chest using wax or other depilatory methods, often for grooming or aesthetic purposes."
"Waxing eyebrows:  refers to the process of removing hair from the eyebrows using wax or other depilatory methods, often for grooming or aesthetic purposes."
"Waxing legs:  refers to the process of removing hair from the legs using wax or other depilatory methods, often for grooming or aesthetic purposes."
"Weaving basket:  refers to the skill of creating a basket or other container from woven materials such as reeds, fibers, or grasses, often for storage or decorative purposes."
"Welding:  refers to the skill of joining two or more pieces of metal using heat and pressure, often for construction or repair purposes."
"Whistling:  refers to the ability to produce a musical sound by blowing air through one's lips or teeth, often for communication, entertainment, or attention-getting purposes."
"Windsurfing:  refers to the sport or recreational activity of riding on a board equipped with a sail, while maneuvering through the wind and waves using body movements and the sail's controls."
"Wrapping present:  refers to the skill of neatly and securely covering a gift or object with decorative wrapping paper, often for presentation or surprise."
"Wrestling:  refers to the combat sport or activity of grappling and throwing or pinning one's opponent to the ground, often for competition or entertainment purposes."
"Writing:  refers to the activity of creating written works such as books, articles, or scripts, often for communication, expression, or entertainment purposes."
"Yawning:  refers to the reflex action of inhaling deeply and exhaling audibly, often as a sign of fatigue, boredom, or stress."
"Yoga:  refers to the practice of physical, mental, and spiritual disciplines, often involving specific postures, breathing techniques, and meditation, for the purposes of relaxation, fitness, or spiritual development."
"Zumba:  refers to the fitness program or activity that combines dance and aerobic exercises, often set to Latin or international music, for the purposes of cardiovascular health and fitness."
